30.00,30.00
33.84,37.61
37.61,44.73
41.26,50.88
44.73,55.67
47.95,58.77
50.88,60.00
53.47,59.26
55.67,56.61
57.45,52.22
58.77,46.37
59.63,39.46
60.00,31.92
59.88,24.26
59.26,16.98
58.17,10.54
56.61,5.38
54.62,1.83
52.22,0.12
49.46,0.37
46.37,2.55
43.02,6.53
39.46,12.05
35.74,18.74
31.92,26.16
28.08,33.84
24.26,41.26
20.54,47.95
16.98,53.47
13.63,57.45
10.54,59.63
7.78,59.88
5.38,58.17
3.39,54.62
1.83,49.46
0.74,43.02
0.12,35.74
0.00,28.08
0.37,20.54
1.23,13.63
2.55,7.78
4.33,3.39
6.53,0.74
9.12,0.00
12.05,1.23
15.27,4.33
18.74,9.12
22.39,15.27
26.16,22.39
30.00,30.00
