0.00,0.00
1.22,24.49
2.45,48.98
3.67,46.53
4.90,22.04
6.12,2.45
7.35,26.94
8.57,51.43
9.80,44.08
11.02,19.59
12.24,4.90
13.47,29.39
14.69,53.88
15.92,41.63
17.14,17.14
18.37,7.35
19.59,31.84
20.82,56.33
22.04,39.18
23.27,14.69
24.49,9.80
25.71,34.29
26.94,58.78
28.16,36.73
29.39,12.24
30.61,12.24
31.84,36.73
33.06,58.78
34.29,34.29
35.51,9.80
36.73,14.69
37.96,39.18
39.18,56.33
40.41,31.84
41.63,7.35
42.86,17.14
44.08,41.63
45.31,53.88
46.53,29.39
47.76,4.90
48.98,19.59
50.20,44.08
51.43,51.43
52.65,26.94
53.88,2.45
55.10,22.04
56.33,46.53
57.55,48.98
58.78,24.49
60.00,0.00
