0.00,0.00
1.22,12.24
2.45,24.49
3.67,36.73
4.90,48.98
6.12,58.78
7.35,46.53
8.57,34.29
9.80,22.04
11.02,9.80
12.24,2.45
13.47,14.69
14.69,26.94
15.92,39.18
17.14,51.43
18.37,56.33
19.59,44.08
20.82,31.84
22.04,19.59
23.27,7.35
24.49,4.90
25.71,17.14
26.94,29.39
28.16,41.63
29.39,53.88
30.61,53.88
31.84,41.63
33.06,29.39
34.29,17.14
35.51,4.90
36.73,7.35
37.96,19.59
39.18,31.84
40.41,44.08
41.63,56.33
42.86,51.43
44.08,39.18
45.31,26.94
46.53,14.69
47.76,2.45
48.98,9.80
50.20,22.04
51.43,34.29
52.65,46.53
53.88,58.78
55.10,48.98
56.33,36.73
57.55,24.49
58.78,12.24
60.00,0.00
