60.00,30.00
59.75,33.84
59.02,37.61
57.81,41.26
56.14,44.73
54.04,47.95
51.54,50.88
48.69,53.47
45.54,55.67
42.13,57.45
38.51,58.77
34.76,59.63
30.93,60.00
27.09,59.88
23.29,59.26
19.60,58.17
16.08,56.61
12.79,54.62
9.78,52.22
7.10,49.46
4.80,46.37
2.91,43.02
1.47,39.46
0.49,35.74
0.00,31.92
0.00,28.08
0.49,24.26
1.47,20.54
2.91,16.98
4.80,13.63
7.10,10.54
9.78,7.78
12.79,5.38
16.08,3.39
19.60,1.83
23.29,0.74
27.09,0.12
30.93,0.00
34.76,0.37
38.51,1.23
42.13,2.55
45.54,4.33
48.69,6.53
51.54,9.12
54.04,12.05
56.14,15.27
57.81,18.74
59.02,22.39
59.75,26.16
60.00,30.00
