1.47361,11.691
2.73411,21.8833
3.60945,36.176
2.8031,45.4687
8.45907,58.2582
11.1643,50.0254
8.04359,34.9176
12.4334,22.5473
11.8219,10.5174
10.623,3.80096
13.0462,12.9422
12.3714,25.971
13.403,35.6806
15.49,49.4986
16.6235,52.9042
19.2882,43.1111
23.1231,33.4958
23.4381,22.8789
23.1758,9.95589
27.7546,4.43876
26.2948,16.3096
31.8974,35.317
31.5646,44.2557
24.4115,49.1808
31.0422,51.7737
35.0158,44.9479
31.8798,27.1017
38.9689,21.4565
32.1479,4.01035
40.1447,8.67722
36.7081,20.0155
39.2576,33.2632
41.2145,46.9494
42.3991,55.9624
47.4023,53.2272
51.6156,46.9767
41.8463,24.2931
40.5468,10.0385
48.1258,2.52232
60.4992,17.8527
49.6083,19.5849
55.6999,36.6384
59.2569,54.182
49.0621,56.5324
56.5555,48.9952
62.6434,45.5966
50.4801,20.9382
55.1623,7.34095
53.9621,-3.81692
